cod;denumire;denumire_scurta
44039300;"Lemn brut, chiar cojit, curățat de ramuri sau ecarisat — Altele — Din fag (Fagus spp.), pentru care cea mai mică dimensiune a secțiunii transversale este de cel puțin 15 cm";"Din fag (Fagus spp.), pentru care cea mai mică dimensiune a secțiunii transversale este de cel puțin 15 cm"
44039400;"Lemn brut, chiar cojit, curățat de ramuri sau ecarisat — Altele — Din fag (Fagus spp.), altele";"Din fag (Fagus spp.), altele"
44039510;"Lemn brut, chiar cojit, curățat de ramuri sau ecarisat — Altele — Din mesteacăn (Betula spp.), pentru care cea mai mică dimensiune a secțiunii transversale este de cel puțin 15 cm — Bușteni pentru cherestea";"Bușteni pentru cherestea"
44039590;"Lemn brut, chiar cojit, curățat de ramuri sau ecarisat — Altele — Din mesteacăn (Betula spp.), pentru care cea mai mică dimensiune a secțiunii transversale este de cel puțin 15 cm";Altele
44039600;"Lemn brut, chiar cojit, curățat de ramuri sau ecarisat — Altele — Din mesteacăn (Betula spp.), altele";"Din mesteacăn (Betula spp.), altele"
44039700;"Lemn brut, chiar cojit, curățat de ramuri sau ecarisat — Altele — Din plop și plop tremurător (Populus spp.)";"Din plop și plop tremurător (Populus spp.)"
44039800;"Lemn brut, chiar cojit, curățat de ramuri sau ecarisat — Altele — Din eucalipt (Eucalyptus spp.)";"Din eucalipt (Eucalyptus spp.)"
44039900;"Lemn brut, chiar cojit, curățat de ramuri sau ecarisat — Altele";Altele
44041000;"Lemn pentru dogărie; prăjini despicate; țăruși și pari din lemn, ascuțiți, nedespicați longitudinal; lemn simplu degroșat sau rotunjit dar nestrunjit, necurbat sau altfel prelucrat, pentru bastoane, umbrele, mânere de scule sau similare; lemn sub formă de eclise, lame, benzi și produse similare — De conifere";"De conifere"
44042000;"Lemn pentru dogărie; prăjini despicate; țăruși și pari din lemn, ascuțiți, nedespicați longitudinal; lemn simplu degroșat sau rotunjit dar nestrunjit, necurbat sau altfel prelucrat, pentru bastoane, umbrele, mânere de scule sau similare; lemn sub formă de eclise, lame, benzi și produse similare — Altele decât de conifere";"Altele decât de conifere"
44050000;"Lână de lemn; făină de lemn";"Lână de lemn; făină de lemn"
44061100;"Traverse din lemn pentru căi ferate sau similare — Neimpregnate — De conifere";"De conifere"
44061200;"Traverse din lemn pentru căi ferate sau similare — Neimpregnate — Altele decât de conifere";"Altele decât de conifere"
44069100;"Traverse din lemn pentru căi ferate sau similare — Altele — De conifere";"De conifere"
44069200;"Traverse din lemn pentru căi ferate sau similare — Altele — Altele decât de conifere";"Altele decât de conifere"
44071110;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — De conifere — Din pin (Pinus spp.) — Lipit prin îmbinare cap la cap, chiar șlefuit sau geluit";"Lipit prin îmbinare cap la cap, chiar șlefuit sau geluit"
44071120;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — De conifere — Din pin (Pinus spp.) — Geluit";Geluit
44071190;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — De conifere — Din pin (Pinus spp.) — Altele";Altele
44071210;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — De conifere — Din brad (Abies spp.) și molid (Picea spp.) — Lipit prin îmbinare cap la cap, chiar șlefuit sau geluit";"Lipit prin îmbinare cap la cap, chiar șlefuit sau geluit"
44071220;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — De conifere — Din brad (Abies spp.) și molid (Picea spp.) — Geluit";Geluit
44071290;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — De conifere — Din brad (Abies spp.) și molid (Picea spp.) — Altele";Altele
44071300;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — De conifere — Din S-P-F [molid (Picea spp.), pin (Pinus spp.) și brad (Abies spp.)]";"Din S-P-F [molid (Picea spp.), pin (Pinus spp.) și brad (Abies spp.)]"
44071400;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — De conifere — Din Hem-fir [ combinație de tsuga vestică (Tsuga heterophylla) și brad (Abies spp.)]";"Din Hem-fir [ combinație de tsuga vestică (Tsuga heterophylla) și brad (Abies spp.)]"
44071910;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — De conifere — Altele — Lipit prin îmbinare cap la cap, chiar șlefuit sau geluit";"Lipit prin îmbinare cap la cap, chiar șlefuit sau geluit"
44071920;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — De conifere — Altele — Geluit";Geluit
44071990;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — De conifere — Altele";Altele
44072110;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Mahogany (Swietenia spp.) — Șlefuit; lipit prin îmbinare cap la cap, chiar geluit sau șlefuit";"Șlefuit; lipit prin îmbinare cap la cap, chiar geluit sau șlefuit"
44072191;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Mahogany (Swietenia spp.) — Altele — Geluit";Geluit
44072199;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Mahogany (Swietenia spp.) — Altele";Altele
44072210;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Virola, Imbuia și Balsa — Șlefuit; lipit prin îmbinare cap la cap, chiar geluit sau șlefuit";"Șlefuit; lipit prin îmbinare cap la cap, chiar geluit sau șlefuit"
44072291;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Virola, Imbuia și Balsa — Altele — Geluit";Geluit
44072299;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Virola, Imbuia și Balsa — Altele";Altele
44072310;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Tec — Șlefuit; lipit prin îmbinare cap la cap, chiar geluit sau șlefuit";"Șlefuit; lipit prin îmbinare cap la cap, chiar geluit sau șlefuit"
44072320;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Tec — Geluit";Geluit
44072390;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Tec — Altele";Altele
44072510;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Dark Red Meranti, Light Red Meranti și Meranti Bakau — Lipit prin îmbinare cap la cap, chiar șlefuit sau geluit";"Lipit prin îmbinare cap la cap, chiar șlefuit sau geluit"
44072530;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Dark Red Meranti, Light Red Meranti și Meranti Bakau — Altele — Șlefuit";Șlefuit
44072550;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Dark Red Meranti, Light Red Meranti și Meranti Bakau — Altele — Geluit";Geluit
44072590;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Dark Red Meranti, Light Red Meranti și Meranti Bakau — Altele";Altele
44072610;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — White Lauan, White Meranti, White Seraya, Yellow Meranti și Alan — Lipit prin îmbinare cap la cap, chiar geluit sau șlefuit";"Lipit prin îmbinare cap la cap, chiar geluit sau șlefuit"
44072630;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — White Lauan, White Meranti, White Seraya, Yellow Meranti și Alan — Altele — Geluit";Geluit
44072650;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — White Lauan, White Meranti, White Seraya, Yellow Meranti și Alan — Altele — Șlefuit";Șlefuit
44072690;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — White Lauan, White Meranti, White Seraya, Yellow Meranti și Alan — Altele";Altele
44072710;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Sapelli — Șlefuit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit";"Șlefuit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit"
44072791;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Sapelli — Altele — Geluit";Geluit
44072799;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Sapelli — Altele";Altele
44072810;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Iroko — Șlefuit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit";"Șlefuit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit"
44072891;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Iroko — Altele — Geluit";Geluit
44072899;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Iroko — Altele";Altele
44072915;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Altele — Abura, Acaju de Africa, Afrormosia, Ako, Andiroba, Aningré, Avodiré, Azobé, Balau, Bossé Clair, Bossé Foncé, Cativo, Cedro, Dabema,  Dibétou, Doussié, Framiré, Freijo, Fromager, Fuma, Geronggang, Ilomba, Ipé, Jaboty, Jelutong, Jequitiba, Jongkong, Kapur, Kempas, Keruing, Kosipo, Kotibé, Koto, Limba, Louro, Maçaranduba, Makoré, Mandioquieira, Mansonia, Mengkulang, Merawan, Merbau, Merpauh, Mersawa, Moabi, Niangon, Nyatoh, Obeche, Okumé, Onzabili, Orey, Ovengkol, Ozigo, Padauk, Paldao, Palisandru de Guatemala, Palisandru de Para, Palisandru de Rio, Palisandru de Rose, Pau Amarelo, Pau Marfim, Pulai, Punah, Quaruba, Ramin, Saqui-Saqui, Sepetir, Sipo, Sucupira, Suren, Tauari, Tiama, Tola — Lipit prin îmbinare cap la cap, chiar șlefuit sau geluit";"Lipit prin îmbinare cap la cap, chiar șlefuit sau geluit"
44072920;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Altele — Abura, Acaju de Africa, Afrormosia, Ako, Andiroba, Aningré, Avodiré, Azobé, Balau, Bossé Clair, Bossé Foncé, Cativo, Cedro, Dabema,  Dibétou, Doussié, Framiré, Freijo, Fromager, Fuma, Geronggang, Ilomba, Ipé, Jaboty, Jelutong, Jequitiba, Jongkong, Kapur, Kempas, Keruing, Kosipo, Kotibé, Koto, Limba, Louro, Maçaranduba, Makoré, Mandioquieira, Mansonia, Mengkulang, Merawan, Merbau, Merpauh, Mersawa, Moabi, Niangon, Nyatoh, Obeche, Okumé, Onzabili, Orey, Ovengkol, Ozigo, Padauk, Paldao, Palisandru de Guatemala, Palisandru de Para, Palisandru de Rio, Palisandru de Rose, Pau Amarelo, Pau Marfim, Pulai, Punah, Quaruba, Ramin, Saqui-Saqui, Sepetir, Sipo, Sucupira, Suren, Tauari, Tiama, Tola — Palisandru de Para, Palisandru de Rio și Palisandru de Rose, geluit";"Palisandru de Para, Palisandru de Rio și Palisandru de Rose, geluit"
44072983;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Altele — Abura, Acaju de Africa, Afrormosia, Ako, Andiroba, Aningré, Avodiré, Azobé, Balau, Bossé Clair, Bossé Foncé, Cativo, Cedro, Dabema,  Dibétou, Doussié, Framiré, Freijo, Fromager, Fuma, Geronggang, Ilomba, Ipé, Jaboty, Jelutong, Jequitiba, Jongkong, Kapur, Kempas, Keruing, Kosipo, Kotibé, Koto, Limba, Louro, Maçaranduba, Makoré, Mandioquieira, Mansonia, Mengkulang, Merawan, Merbau, Merpauh, Mersawa, Moabi, Niangon, Nyatoh, Obeche, Okumé, Onzabili, Orey, Ovengkol, Ozigo, Padauk, Paldao, Palisandru de Guatemala, Palisandru de Para, Palisandru de Rio, Palisandru de Rose, Pau Amarelo, Pau Marfim, Pulai, Punah, Quaruba, Ramin, Saqui-Saqui, Sepetir, Sipo, Sucupira, Suren, Tauari, Tiama, Tola — Geluit";Geluit
44072985;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Altele — Abura, Acaju de Africa, Afrormosia, Ako, Andiroba, Aningré, Avodiré, Azobé, Balau, Bossé Clair, Bossé Foncé, Cativo, Cedro, Dabema,  Dibétou, Doussié, Framiré, Freijo, Fromager, Fuma, Geronggang, Ilomba, Ipé, Jaboty, Jelutong, Jequitiba, Jongkong, Kapur, Kempas, Keruing, Kosipo, Kotibé, Koto, Limba, Louro, Maçaranduba, Makoré, Mandioquieira, Mansonia, Mengkulang, Merawan, Merbau, Merpauh, Mersawa, Moabi, Niangon, Nyatoh, Obeche, Okumé, Onzabili, Orey, Ovengkol, Ozigo, Padauk, Paldao, Palisandru de Guatemala, Palisandru de Para, Palisandru de Rio, Palisandru de Rose, Pau Amarelo, Pau Marfim, Pulai, Punah, Quaruba, Ramin, Saqui-Saqui, Sepetir, Sipo, Sucupira, Suren, Tauari, Tiama, Tola — Șlefuit";Șlefuit
44072995;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Altele — Abura, Acaju de Africa, Afrormosia, Ako, Andiroba, Aningré, Avodiré, Azobé, Balau, Bossé Clair, Bossé Foncé, Cativo, Cedro, Dabema,  Dibétou, Doussié, Framiré, Freijo, Fromager, Fuma, Geronggang, Ilomba, Ipé, Jaboty, Jelutong, Jequitiba, Jongkong, Kapur, Kempas, Keruing, Kosipo, Kotibé, Koto, Limba, Louro, Maçaranduba, Makoré, Mandioquieira, Mansonia, Mengkulang, Merawan, Merbau, Merpauh, Mersawa, Moabi, Niangon, Nyatoh, Obeche, Okumé, Onzabili, Orey, Ovengkol, Ozigo, Padauk, Paldao, Palisandru de Guatemala, Palisandru de Para, Palisandru de Rio, Palisandru de Rose, Pau Amarelo, Pau Marfim, Pulai, Punah, Quaruba, Ramin, Saqui-Saqui, Sepetir, Sipo, Sucupira, Suren, Tauari, Tiama, Tola";Altele
44072996;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Altele — Altele, din lemn tropical — Geluit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit";"Geluit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit"
44072997;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Altele — Altele, din lemn tropical — Șlefuit";Șlefuit
44072998;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Din lemn tropical — Altele — Altele, din lemn tropical";Altele
44079115;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — De stejar (Quercus spp.) — Șlefuit; lipit prin îmbinare cap la cap, chiar geluit sau șlefuit";"Șlefuit; lipit prin îmbinare cap la cap, chiar geluit sau șlefuit"
44079131;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — De stejar (Quercus spp.) — Geluit — Lame și frize pentru parchet, neasamblate";"Lame și frize pentru parchet, neasamblate"
44079139;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — De stejar (Quercus spp.) — Geluit";Altele
44079190;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — De stejar (Quercus spp.)";Altele
44079200;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — De fag (Fagus spp.)";"De fag (Fagus spp.)"
44079310;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — De arțar (Acer spp.) — Geluit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit";"Geluit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit"
44079391;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — De arțar (Acer spp.) — Șlefuit";Șlefuit
44079399;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — De arțar (Acer spp.)";Altele
44079410;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — De cireș (Prunus spp.) — Geluit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit";"Geluit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit"
44079491;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — De cireș (Prunus spp.) — Șlefuit";Șlefuit
44079499;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — De cireș (Prunus spp.)";Altele
44079510;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — De frasin (Fraxinus spp.) — Geluit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit";"Geluit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit"
44079591;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — De frasin (Fraxinus spp.) — Șlefuit";Șlefuit
44079599;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — De frasin (Fraxinus spp.)";Altele
44079610;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — Din mesteacăn (Betula spp.) — Geluit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit";"Geluit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit"
44079691;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — Din mesteacăn (Betula spp.) — Șlefuit";Șlefuit
44079699;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — Din mesteacăn (Betula spp.)";Altele
44079710;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — Din plop și plop tremurător (Populus spp.) — Geluit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit";"Geluit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit"
44079791;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — Din plop și plop tremurător (Populus spp.) — Șlefuit";Șlefuit
44079799;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — Din plop și plop tremurător (Populus spp.)";Altele
44079927;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — Geluit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit";"Geluit; lipit prin asamblare cap la cap, chiar geluit sau șlefuit"
44079940;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele — Șlefuit";Șlefuit
44079990;"Lemn tăiat sau despicat longitudinal, tranșat sau derulat, chiar geluit, șlefuit sau lipit prin îmbinare cap la cap, cu o grosime de peste 6 mm — Altele";Altele
44081015;"Foi pentru furnir (inclusiv cele obținute prin tranșarea lemnului stratificat), foi pentru placaj sau pentru alt lemn stratificat similar și alt lemn tăiat longitudinal, tranșat sau derulat, chiar geluit, șlefuit, îmbinat lateral sau cap la cap, cu o grosime de maximum 6 mm — De conifere — Geluite; șlefuite; lipite prin îmbinare cap la cap, chiar geluite sau șlefuite";"Geluite; șlefuite; lipite prin îmbinare cap la cap, chiar geluite sau șlefuite"
44081091;"Foi pentru furnir (inclusiv cele obținute prin tranșarea lemnului stratificat), foi pentru placaj sau pentru alt lemn stratificat similar și alt lemn tăiat longitudinal, tranșat sau derulat, chiar geluit, șlefuit, îmbinat lateral sau cap la cap, cu o grosime de maximum 6 mm — De conifere — Altele — Scândurele destinate fabricării creioanelor";"Scândurele destinate fabricării creioanelor"
44081098;"Foi pentru furnir (inclusiv cele obținute prin tranșarea lemnului stratificat), foi pentru placaj sau pentru alt lemn stratificat similar și alt lemn tăiat longitudinal, tranșat sau derulat, chiar geluit, șlefuit, îmbinat lateral sau cap la cap, cu o grosime de maximum 6 mm — De conifere — Altele";Altele
44083111;"Foi pentru furnir (inclusiv cele obținute prin tranșarea lemnului stratificat), foi pentru placaj sau pentru alt lemn stratificat similar și alt lemn tăiat longitudinal, tranșat sau derulat, chiar geluit, șlefuit, îmbinat lateral sau cap la cap, cu o grosime de maximum 6 mm — Din lemn tropical — Dark Red Meranti, Light Red Meranti și Meranti Bakau — Lipite prin îmbinare cap la cap, chiar geluite sau șlefuite";"Lipite prin îmbinare cap la cap, chiar geluite sau șlefuite"
44083121;"Foi pentru furnir (inclusiv cele obținute prin tranșarea lemnului stratificat), foi pentru placaj sau pentru alt lemn stratificat similar și alt lemn tăiat longitudinal, tranșat sau derulat, chiar geluit, șlefuit, îmbinat lateral sau cap la cap, cu o grosime de maximum 6 mm — Din lemn tropical — Dark Red Meranti, Light Red Meranti și Meranti Bakau — Altele — Geluite";Geluite
44083125;"Foi pentru furnir (inclusiv cele obținute prin tranșarea lemnului stratificat), foi pentru placaj sau pentru alt lemn stratificat similar și alt lemn tăiat longitudinal, tranșat sau derulat, chiar geluit, șlefuit, îmbinat lateral sau cap la cap, cu o grosime de maximum 6 mm — Din lemn tropical — Dark Red Meranti, Light Red Meranti și Meranti Bakau — Altele — Șlefuite";Șlefuite
44083130;"Foi pentru furnir (inclusiv cele obținute prin tranșarea lemnului stratificat), foi pentru placaj sau pentru alt lemn stratificat similar și alt lemn tăiat longitudinal, tranșat sau derulat, chiar geluit, șlefuit, îmbinat lateral sau cap la cap, cu o grosime de maximum 6 mm — Din lemn tropical — Dark Red Meranti, Light Red Meranti și Meranti Bakau — Altele";Altele
44083915;"Foi pentru furnir (inclusiv cele obținute prin tranșarea lemnului stratificat), foi pentru placaj sau pentru alt lemn stratificat similar și alt lemn tăiat longitudinal, tranșat sau derulat, chiar geluit, șlefuit, îmbinat lateral sau cap la cap, cu o grosime de maximum 6 mm — Din lemn tropical — Altele — Acaju de Africa, Limba, Mahogany (Swietenia spp.), Obeche, Okumé, Palisandru de Para, Palisandru de Rio, Palisandru de Rose, Sapelli, Sipo, Virola și White Lauan — Șlefuite; lipite prin îmbinare cap la cap, chiar geluite sau șlefuite";"Șlefuite; lipite prin îmbinare cap la cap, chiar geluite sau șlefuite"
44083921;"Foi pentru furnir (inclusiv cele obținute prin tranșarea lemnului stratificat), foi pentru placaj sau pentru alt lemn stratificat similar și alt lemn tăiat longitudinal, tranșat sau derulat, chiar geluit, șlefuit, îmbinat lateral sau cap la cap, cu o grosime de maximum 6 mm — Din lemn tropical — Altele — Acaju de Africa, Limba, Mahogany (Swietenia spp.), Obeche, Okumé, Palisandru de Para, Palisandru de Rio, Palisandru de Rose, Sapelli, Sipo, Virola și White Lauan — Geluite";Geluite
