cod;denumire;denumire_scurta
02022010;"Carne de animale din specia bovine, congelată — Alte bucăți nedezosate — Sferturi numite „compensate”";"Sferturi numite „compensate”"
02022030;"Carne de animale din specia bovine, congelată — Alte bucăți nedezosate — Sferturi anterioare neseparate sau separate";"Sferturi anterioare neseparate sau separate"
02022050;"Carne de animale din specia bovine, congelată — Alte bucăți nedezosate — Sferturi posterioare neseparate sau separate";"Sferturi posterioare neseparate sau separate"
02022090;"Carne de animale din specia bovine, congelată — Alte bucăți nedezosate — Altele";Altele
02023010;"Carne de animale din specia bovine, congelată — Dezosată — Sferturi anterioare, întregi sau tăiate în maximum cinci bucăți, fiecare sfert anterior fiind prezentat într-un singur bloc congelat; sferturi numite „compensate” prezentate în două blocuri congelate, unul dintre ele conținând partea anterioară a carcasei, întreagă sau tranșată în maximum cinci bucăți, iar celălalt conținând sfertul posterior, într-o singură bucată, fără mușchiul file";"Sferturi anterioare, întregi sau tăiate în maximum cinci bucăți, fiecare sfert anterior fiind prezentat într-un singur bloc congelat; sferturi numite „compensate” prezentate în două blocuri congelate, unul dintre ele conținând partea anterioară a carcasei"
02023050;"Carne de animale din specia bovine, congelată — Dezosată — Bucăți rezultate din sferturi anterioare și din piept numite „australiene”";"Bucăți rezultate din sferturi anterioare și din piept numite „australiene”"
02023090;"Carne de animale din specia bovine, congelată — Dezosată — Altele";Altele
02031110;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Proaspătă sau refrigerată — În carcase sau semicarcase — De animale domestice din specia porcine";"De animale domestice din specia porcine"
02031190;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Proaspătă sau refrigerată — În carcase sau semicarcase — Altele";Altele
02031211;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Proaspătă sau refrigerată — Jamboane, spete și părți din acestea, nedezosate — De animale domestice din specia porcine — Jamboane și părți din acestea";"Jamboane și părți din acestea"
02031219;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Proaspătă sau refrigerată — Jamboane, spete și părți din acestea, nedezosate — De animale domestice din specia porcine — Spete și părți din acestea";"Spete și părți din acestea"
02031290;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Proaspătă sau refrigerată — Jamboane, spete și părți din acestea, nedezosate — Altele";Altele
02031911;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Proaspătă sau refrigerată — Altele — De animale domestice din specia porcine — Părți anterioare și părți din acestea";"Părți anterioare și părți din acestea"
02031913;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Proaspătă sau refrigerată — Altele — De animale domestice din specia porcine — Spinări și părți din acestea, nedezosate";"Spinări și părți din acestea, nedezosate"
02031915;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Proaspătă sau refrigerată — Altele — De animale domestice din specia porcine — Piept (împănat) și părți de piept";"Piept (împănat) și părți de piept"
02031955;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Proaspătă sau refrigerată — Altele — De animale domestice din specia porcine — Dezosate";Dezosate
02031959;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Proaspătă sau refrigerată — Altele — De animale domestice din specia porcine";Altele
02031990;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Proaspătă sau refrigerată — Altele";Altele
